skeptycal/pyplates		public	2020-08-26T04:47:16Z
skeptycal/python_performance		public	2021-06-10T21:27:14Z
skeptycal/random_sentence_from_book	RosettaCode.org project	private	2021-04-01T08:36:03Z
skeptycal/readyset		public	2020-12-12T16:16:44Z
skeptycal/replace		public	2020-12-07T08:53:49Z
skeptycal/research-site	static site for research, currently MIT CSAIL site	public	2018-06-01T15:08:20Z
skeptycal/resume		public	2021-03-18T02:50:41Z
skeptycal/roboclass	Simple classroom management app with Google Sheets integration	public	2018-07-11T06:33:41Z
skeptycal/rregvis	R Regular Expression Visualizer	public	2016-07-22T18:47:39Z
skeptycal/scrape		public	2019-06-16T18:17:09Z
skeptycal/scrape_mta		public	2019-03-24T10:24:50Z
skeptycal/scrape_text		public	2020-02-07T20:42:38Z
skeptycal/scraping		public	2019-05-22T19:39:09Z
skeptycal/secfilecheck		public	2021-12-29T00:26:00Z
skeptycal/sequence		public	2020-12-07T10:01:10Z
skeptycal/setup_utils	Smoothing out the setup bumps ...	public	2020-07-31T15:59:37Z
skeptycal/sine_test	Graphics Test - comparison of different graphics libraries	public	2018-12-03T19:08:30Z
skeptycal/size		public	2020-12-02T20:31:03Z
skeptycal/skeptycal		public	2021-04-15T18:48:54Z
skeptycal/skeptycal-github	Blog and Portfolio hosted on GitHub Pages.	public	2020-02-11T15:00:07Z
skeptycal/skeptycal.com		public	2020-11-24T05:11:48Z
skeptycal/skeptycal.com_old	Personal Portfolio	public, archived	2019-11-05T01:08:31Z
skeptycal/skeptycal.github.io	Software developer in Austin, TX (Python, Go, data, BS Chemistry)	public	2022-01-01T04:42:43Z
skeptycal/skeptycal.github.io.bak	Liquid Data <:|:> Visceral Design <:|:> Creative Curiosity <:|:> Pretty Pictures	public	2021-04-05T20:03:04Z
skeptycal/slurry	Organizing ideas	public	2021-03-28T04:11:13Z
skeptycal/static	A place to upload static resources that I link to from other places ...	public	2020-12-13T13:14:18Z
skeptycal/stream		private	2021-04-17T06:18:13Z
skeptycal/stringutils	Go string utilities	public	2021-05-04T06:42:30Z
